n,h,integral_punto_medio,error_punto_medio
138,0.00724638,1.71828,3.75945e-006
139,0.00719424,1.71828,3.70555e-006
140,0.00714286,1.71828,3.6528e-006
141,0.0070922,1.71828,3.60118e-006
142,0.00704225,1.71828,3.55063e-006
143,0.00699301,1.71828,3.50115e-006
144,0.00694444,1.71828,3.45269e-006
145,0.00689655,1.71828,3.40523e-006
146,0.00684932,1.71828,3.35874e-006
147,0.00680272,1.71828,3.3132e-006
148,0.00675676,1.71828,3.26858e-006
149,0.00671141,1.71828,3.22485e-006
150,0.00666667,1.71828,3.182e-006
151,0.00662252,1.71828,3.13999e-006
152,0.00657895,1.71828,3.09881e-006
153,0.00653595,1.71828,3.05844e-006
154,0.00649351,1.71828,3.01885e-006
155,0.00645161,1.71828,2.98002e-006
156,0.00641026,1.71828,2.94194e-006
157,0.00636943,1.71828,2.90458e-006
158,0.00632911,1.71828,2.86793e-006
159,0.00628931,1.71828,2.83197e-006
160,0.00625,1.71828,2.79668e-006
161,0.00621118,1.71828,2.76205e-006
162,0.00617284,1.71828,2.72805e-006
163,0.00613497,1.71828,2.69468e-006
164,0.00609756,1.71828,2.66192e-006
165,0.00606061,1.71828,2.62975e-006
166,0.0060241,1.71828,2.59816e-006
167,0.00598802,1.71828,2.56714e-006
168,0.00595238,1.71828,2.53667e-006
169,0.00591716,1.71828,2.50674e-006
170,0.00588235,1.71828,2.47734e-006
171,0.00584795,1.71828,2.44845e-006
172,0.00581395,1.71828,2.42006e-006
173,0.00578035,1.71828,2.39216e-006
174,0.00574713,1.71828,2.36474e-006
175,0.00571429,1.71828,2.3378e-006
176,0.00568182,1.71828,2.31131e-006
177,0.00564972,1.71828,2.28526e-006
178,0.00561798,1.71828,2.25966e-006
179,0.00558659,1.71828,2.23448e-006
180,0.00555556,1.71828,2.20972e-006
181,0.00552486,1.71828,2.18537e-006
182,0.00549451,1.71828,2.16142e-006
183,0.00546448,1.71828,2.13787e-006
184,0.00543478,1.71828,2.11469e-006
185,0.00540541,1.71828,2.09189e-006
186,0.00537634,1.71828,2.06946e-006
187,0.00534759,1.71828,2.04739e-006
188,0.00531915,1.71828,2.02566e-006
189,0.00529101,1.71828,2.00428e-006
190,0.00526316,1.71828,1.98324e-006
191,0.0052356,1.71828,1.96253e-006
192,0.00520833,1.71828,1.94214e-006
193,0.00518135,1.71828,1.92207e-006
194,0.00515464,1.71828,1.9023e-006
195,0.00512821,1.71828,1.88284e-006
196,0.00510204,1.71828,1.86368e-006
197,0.00507614,1.71828,1.8448e-006
198,0.00505051,1.71828,1.82622e-006
199,0.00502513,1.71828,1.80791e-006
200,0.005,1.71828,1.78988e-006
201,0.00497512,1.71828,1.77211e-006
202,0.0049505,1.71828,1.75461e-006
203,0.00492611,1.71828,1.73736e-006
204,0.00490196,1.71828,1.72037e-006
205,0.00487805,1.71828,1.70363e-006
206,0.00485437,1.71828,1.68713e-006
207,0.00483092,1.71828,1.67087e-006
208,0.00480769,1.71828,1.65484e-006
209,0.00478469,1.71828,1.63904e-006
210,0.0047619,1.71828,1.62347e-006
211,0.00473934,1.71828,1.60812e-006
212,0.00471698,1.71828,1.59298e-006
213,0.00469484,1.71828,1.57806e-006
214,0.0046729,1.71828,1.56335e-006
215,0.00465116,1.71828,1.54884e-006
216,0.00462963,1.71828,1.53453e-006
217,0.00460829,1.71828,1.52042e-006
218,0.00458716,1.71828,1.5065e-006
219,0.00456621,1.71828,1.49278e-006
220,0.00454545,1.71828,1.47924e-006
221,0.00452489,1.71828,1.46588e-006
222,0.0045045,1.71828,1.4527e-006
223,0.0044843,1.71828,1.4397e-006
224,0.00446429,1.71828,1.42688e-006
225,0.00444444,1.71828,1.41422e-006
226,0.00442478,1.71828,1.40174e-006
227,0.00440529,1.71828,1.38941e-006
228,0.00438596,1.71828,1.37725e-006
229,0.00436681,1.71828,1.36525e-006
230,0.00434783,1.71828,1.3534e-006
231,0.004329,1.71828,1.34171e-006
232,0.00431034,1.71828,1.33017e-006
233,0.00429185,1.71828,1.31878e-006
234,0.0042735,1.71828,1.30753e-006
235,0.00425532,1.71828,1.29642e-006
236,0.00423729,1.71828,1.28546e-006
237,0.00421941,1.71828,1.27464e-006
238,0.00420168,1.71828,1.26395e-006
239,0.0041841,1.71828,1.25339e-006
240,0.00416667,1.71828,1.24297e-006
241,0.00414938,1.71828,1.23268e-006
242,0.00413223,1.71828,1.22251e-006
243,0.00411523,1.71828,1.21247e-006
244,0.00409836,1.71828,1.20255e-006
245,0.00408163,1.71828,1.19275e-006
246,0.00406504,1.71828,1.18308e-006
247,0.00404858,1.71828,1.17352e-006
248,0.00403226,1.71828,1.16407e-006
249,0.00401606,1.71828,1.15474e-006
250,0.004,1.71828,1.14552e-006
251,0.00398406,1.71828,1.13641e-006
252,0.00396825,1.71828,1.12741e-006
253,0.00395257,1.71828,1.11852e-006
254,0.00393701,1.71828,1.10973e-006
255,0.00392157,1.71828,1.10104e-006
256,0.00390625,1.71828,1.09245e-006
257,0.00389105,1.71828,1.08397e-006
258,0.00387597,1.71828,1.07558e-006
259,0.003861,1.71828,1.06729e-006
260,0.00384615,1.71828,1.0591e-006
261,0.00383142,1.71828,1.051e-006
262,0.00381679,1.71828,1.04299e-006
263,0.00380228,1.71828,1.03507e-006
264,0.00378788,1.71828,1.02725e-006
265,0.00377358,1.71828,1.01951e-006
266,0.0037594,1.71828,1.01186e-006
267,0.00374532,1.71828,1.00429e-006
268,0.00373134,1.71828,9.96812e-007
